# This file defines colors for blocks!
# You can use your own color map using the -color-map <file> argument.
#
# The format is block ID, optionally colon and metadata, tab, color, optionally followed by another tab, a pound, and a comment.
# Tabs are important; don't use spaces or commas!
#
# Empty lines and lines starting with # are ignored, too.
#
# 'default' must appear before other block ID -> color mappings
# Any block with an ID not specifically mapped to a color after the default
# mapping will be colored with the default color.

default	                0xFFFF00FF      # To be used when no match is found
air	                    0x00000000	    # Air
cave_air	            0x00000000	    # Cave Air
stone	                0xFF7D7D7D	    # Stone
andesite	            0xFF787878	    # Andesite
diorite	                0xFF808080	    # Diorite
granite 	            0xFF888888	    # Granite
granite_wall            0xFF888888      # Granite Wall
granite_stairs          0xFF888888      # Granite Stairs


grass	                0xFF939393	 0  # Grass Block
grass_block	            0xFF939393	 0  # Grass Block
tall_grass              0xFF838383   0  # Tall Grass
grass_path              0xFF967053   0  # Grass path
dirt	                0xFF866043	    # Dirt
coarse_dirt	            0xFF866043	    # Coarse Dirt
cobblestone	            0xFF7A7A7A	    # Cobblestone
cobblestone_stairs	    0xFF7A7A7A	    # Cobblestone
cobblestone_slab	    0xFF7A7A7A	    # Cobblestone
cobblestone_wall	    0xFF7A7A7A	    # Cobblestone
kelp	                0xFF115511	    # Grass Block


# Stuff made of oak planks
oak_planks	            0xFF9C7F4E	    # Oak Wood Planks
oak_sign	            0xFF9C7F4E	    # Oak Sign
oak_door	            0xFF9C7F4E	    # Oak Door
oak_trapdoor	        0xFF9C7F4E	    # Oak Trapdoor
oak_pressure_plate	    0xFF9C7F4E	    # Oak Pressure Plate
oak_fence       	    0xFF9C7F4E	    # Oak Fence
oak_fence_gate  	    0xFF9C7F4E	    # Oak Fence Gate
oak_slab          	    0xFF9C7F4E	    # Oak Slab
oak_stairs          	0xFF9C7F4E	    # Oak Stairs

# Stuff made of stripped oak planks
stripped_oak_planks	    0xFFAC8F5E	    # Stripped Oak Wood Planks
stripped_oak_sign	    0xFFAC8F5E	    # Stripped Oak Sign
stripped_oak_door	    0xFFAC8F5E	    # Stripped Oak Door
stripped_oak_trapdoor	0xFFAC8F5E	    # Stripped Oak Trapdoor
stripped_oak_pressure_plate	    0xFFAC8F5E	    # Stripped Oak Pressure Plate
stripped_oak_fence      0xFFAC8F5E	    # Stripped Oak Fence
stripped_oak_fence_gate 0xFFAC8F5E	    # Stripped Oak Fence Gate
stripped_oak_slab       0xFFAC8F5E	    # Stripped Oak Slab
stripped_oak_stairs     0xFFAC8F5E	    # Stripped Oak Stairs

# Stuff made of dark oak planks
dark_oak_planks	         0xFF8C6F3E	    # Dark Oak Wood Planks
dark_oak_sign	         0xFF8C6F3E	    # Dark Oak Sign
dark_oak_door	         0xFF8C6F3E	    # Dark Oak Door
dark_oak_trapdoor	     0xFF8C6F3E	    # Dark Oak Trapdoor
dark_oak_pressure_plate	 0xFF8C6F3E	    # Dark Oak Pressure Plate
dark_oak_fence       	 0xFF8C6F3E	    # Dark Oak Fence
dark_oak_fence_gate  	 0xFF8C6F3E	    # Dark Oak Fence Gate
dark_oak_slab          	 0xFF8C6F3E	    # Dark Oak Slab
dark_oak_stairs          0xFF8C6F3E	    # Dark Oak Stairs

# Stuff made of oak planks (TODO: Change to be different from oak)
acacia_planks	        0xFF9C7F4E	    # acacia Wood Planks
acacia_sign	            0xFF9C7F4E	    # acacia Sign
acacia_door	            0xFF9C7F4E	    # acacia Door
acacia_trapdoor	        0xFF9C7F4E	    # acacia Trapdoor
acacia_pressure_plate	0xFF9C7F4E	    # acacia Pressure Plate
acacia_fence       	    0xFF9C7F4E	    # acacia Fence
acacia_fence_gate  	    0xFF9C7F4E	    # acacia Fence Gate
acacia_slab          	0xFF9C7F4E  	# acacia Slab
acacia_stairs          	0xFF9C7F4E	    # acacia Stairs

# Stuff made of spruce planks
spruce_planks	        0xFF674D2E	    # Spruce Wood Planks
spruce_sign             0xFF674D2E      # Spruce Sign
spruce_door             0xFF674D2E      # Spruce Door
spruce_trapdoor         0xFF674D2E      # Spruce Trap Door
spruce_pressure_plate   0xFF674D2E      # Spruce Pressure Plate
spruce_fence            0xFF674D2E      # Spruce Fence
spruce_fence_gate       0xFF674D2E      # Spruce Fence Gate
spruce_slab             0xFF674D2E      # Spruce Slab
spruce_stairs           0xFF674D2E      # Spruce stairs

# Stuff made of birch planks
birch_planks	        0xFFC3B37B	    # Birch Wood Planks
birch_sign	            0xFFC3B37B	    # Birch Wood Sign
birch_door              0xFFC3B37B      # Birch door
birch_trapdoor          0xFFC3B37B      # Birch Trapdoor
birch_pressure_plate    0xFFC3B37B      # Birch Pressure Plate
birch_fence             0xFFC3B37B      # Birch Fence
birch_fence_gate        0xFFC3B37B      # Birch Fence Gate
birch_slab              0xFFC3B37B      # Birch Slab
birch_stairs            0xFFC3B37B      # Birch Stairs

# Stuff made of jungle planks
jungle_planks	        0xFF9A6E4D	    # Jungle Wood Planks
jungle_sign	            0xFF9A6E4D	    # Jungle Wood Sign
jungle_door	            0xFF9A6E4D	    # Jungle Wood Door
jungle_trapdoor         0xFF9A6E4D	    # Jungle Wood Trapdoor
jungle_pressure_plate   0xFF9A6E4D	    # Jungle Wood Pressure Plate
jungle_fence            0xFF9A6E4D	    # Jungle Wood Fence
jungle_fence_gate       0xFF9A6E4D	    # Jungle Wood Fence Gate
jungle_slab             0xFFC3B37B	    # Jungle Slab
jungle_stairs           0xFFC3B37B      # Jungle Stairs

birch_sapling	        0x6B769654	    # Birch Sapling
jungle_sapling	        0x55305612	    # Jungle Sapling
spruce_sapling	        0x53333A21	    # Spruce Sapling
oak_sapling	            0x6B476625	    # Oak Sapling

bedrock	                0xFF0A0A0A      # Bedrock
water	                0xB22E43F4	2   # Stationary Water
lava	                0xFFD45A12	    # Lava
sand	                0xFFDBD3A0	    # Sand
gravel	                0xFF7E7C7A	    # Gravel
gold_ore	            0xFF8F8B7C	    # Gold Ore
iron_ore	            0xFF87827E	    # Iron Ore
coal_ore	            0xFF737373	    # Coal Ore
oak_log	                0xFF9A7D4D	    # Oak Log
oak_wood                0xFF9A7D4D	    # Oak Wood
acacia_log	            0xFF9A7D4D	    # Oak Log
acacia_wood             0xFF9A7D4D	    # Oak Wood
spruce_log	            0xFF9A7D4D	    # Spruce Log
spruce_wood	            0xFF9A7D4D	    # Spruce Wood
birch_log	            0xFFCECEC9	    # Birch Log
birch_wood	            0xFFCECEC9	    # Birch Wood
jungle_log	            0xFF57431A	    # Jungle Log
jungle_wood             0xFF57431A	    # Jungle Wood
dark_oak_log	        0xFF665131	    # Oak Log
dark_oak_wood	        0xFF665131	    # Oak Wood
dark_oak_leaves	        0x9A006700	1   # Oak Leaves
oak_leaves	            0x9A008700	1   # Oak Leaves
acacia_leaves	        0x9A008700	1   # acacia Leaves
spruce_leaves	        0xA5132613	1   # Spruce Leaves
birch_leaves	        0x9A283816	1   # Birch Leaves
jungle_leaves	        0xC9918E86	1   # Jungle Leaves
sponge	                0xFFB6B639	    # Sponge
glass	                0x46DAF0F4	    # Glass
lapis_ore	            0xFF667086	    # Lapis Lazuli Ore
lapis_block	            0xFF1D47A5	    # Lapis Lazuli Block
dispenser	            0xFF606060	    # Dispenser

sandstone	            0xFFDAD29E	    # Sandstone
smooth_sandstone	    0xFFEAE2AE	    # Smooth Sandstone
chiseled_sandstone	    0xFFEAE2AE	    # Chiseled Sandstone
cut_sandstone	        0xFFEAE2AE	    # Cut Sandstone
sandstone_stairs	    0xFFEAE2AE	    # Sandstone stairs

note_block	            0xFF644332	    # Note Block
bed	                    0xFF8E1616      # Bed
powered_rail	        0xAB9A6846	    # Powered Rail
detector_rail	        0x9B786559	    # Detector Rail
sticky_piston	        0xFF8D9263	    # Sticky Piston
cobweb	                0x68DCDCDC	    # Cobweb
shrub	                0x517B4F19	    # Shrub
seagrass                0xA2646464  0   # Seagrass
tall_seagrass           0xA2646464  0   # Tall seagrass
fern	                0x4E787878	    # Fern
dead_bush	            0x517B4F19	    # Dead Bush
piston	                0xFF998159	    # Piston

white_wool	            0xFFDDDDDD	    # White Wool
white_bed  	            0xFFDDDDDD	    # White Bed
orange_wool	            0xFFDB7D3E	    # Orange Wool
orange_bed              0xFFDB7D3E	    # Orange Bed
magenta_wool	        0xFFB350BC	    # Magenta Wool
magenta_bed	            0xFFB350BC	    # Magenta Bed
